ITEM ID;GROUP;SUBGROUP;TIER;ENCHANTMENT;REQUIREMENT 1;AMT 1;REQUIREMENT 2;AMT 2;REQUIREMENT 3;AMT 3;;;;;;
T1_FISH_FRESHWATER_ALL_COMMON;consumables;fish;1;0;;;;;;;;;;;;
T2_FISH_FRESHWATER_ALL_COMMON;consumables;fish;2;0;;;;;;;;;;;;
T3_FISH_FRESHWATER_ALL_COMMON;consumables;fish;3;0;;;;;;;;;;;;
T4_FISH_FRESHWATER_ALL_COMMON;consumables;fish;4;0;;;;;;;;;;;;
T5_FISH_FRESHWATER_ALL_COMMON;consumables;fish;5;0;;;;;;;;;;;;
T6_FISH_FRESHWATER_ALL_COMMON;consumables;fish;6;0;;;;;;;;;;;;
T7_FISH_FRESHWATER_ALL_COMMON;consumables;fish;7;0;;;;;;;;;;;;
T8_FISH_FRESHWATER_ALL_COMMON;consumables;fish;8;0;;;;;;;;;;;;
T1_FISH_SALTWATER_ALL_COMMON;consumables;fish;1;0;;;;;;;;;;;;
T2_FISH_SALTWATER_ALL_COMMON;consumables;fish;2;0;;;;;;;;;;;;
T3_FISH_SALTWATER_ALL_COMMON;consumables;fish;3;0;;;;;;;;;;;;
T4_FISH_SALTWATER_ALL_COMMON;consumables;fish;4;0;;;;;;;;;;;;
T5_FISH_SALTWATER_ALL_COMMON;consumables;fish;5;0;;;;;;;;;;;;
T6_FISH_SALTWATER_ALL_COMMON;consumables;fish;6;0;;;;;;;;;;;;
T7_FISH_SALTWATER_ALL_COMMON;consumables;fish;7;0;;;;;;;;;;;;
T8_FISH_SALTWATER_ALL_COMMON;consumables;fish;8;0;;;;;;;;;;;;
T3_FISH_FRESHWATER_FOREST_RARE;consumables;fish;3;0;;;;;;;;;;;;
T5_FISH_FRESHWATER_FOREST_RARE;consumables;fish;5;0;;;;;;;;;;;;
T7_FISH_FRESHWATER_FOREST_RARE;consumables;fish;7;0;;;;;;;;;;;;
T3_FISH_FRESHWATER_MOUNTAIN_RARE;consumables;fish;3;0;;;;;;;;;;;;
T5_FISH_FRESHWATER_MOUNTAIN_RARE;consumables;fish;5;0;;;;;;;;;;;;
T7_FISH_FRESHWATER_MOUNTAIN_RARE;consumables;fish;7;0;;;;;;;;;;;;
T3_FISH_FRESHWATER_HIGHLANDS_RARE;consumables;fish;3;0;;;;;;;;;;;;
T5_FISH_FRESHWATER_HIGHLANDS_RARE;consumables;fish;5;0;;;;;;;;;;;;
T7_FISH_FRESHWATER_HIGHLANDS_RARE;consumables;fish;7;0;;;;;;;;;;;;
T3_FISH_FRESHWATER_STEPPE_RARE;consumables;fish;3;0;;;;;;;;;;;;
T5_FISH_FRESHWATER_STEPPE_RARE;consumables;fish;5;0;;;;;;;;;;;;
T7_FISH_FRESHWATER_STEPPE_RARE;consumables;fish;7;0;;;;;;;;;;;;
T3_FISH_FRESHWATER_SWAMP_RARE;consumables;fish;3;0;;;;;;;;;;;;
T5_FISH_FRESHWATER_SWAMP_RARE;consumables;fish;5;0;;;;;;;;;;;;
T7_FISH_FRESHWATER_SWAMP_RARE;consumables;fish;7;0;;;;;;;;;;;;
T3_FISH_SALTWATER_ALL_RARE;consumables;fish;3;0;;;;;;;;;;;;
T5_FISH_SALTWATER_ALL_RARE;consumables;fish;5;0;;;;;;;;;;;;
T7_FISH_SALTWATER_ALL_RARE;consumables;fish;7;0;;;;;;;;;;;;
T1_SEAWEED;materials;other;1;0;;;;;;;;;;;;
T8_FISH_SALTWATER_ALL_BOSS_SHARK;materials;other;8;0;;;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T1_FISH_FRESHWATER_ALL_COMMON;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T2_FISH_FRESHWATER_ALL_COMMON;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T3_FISH_FRESHWATER_ALL_COMMON;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T4_FISH_FRESHWATER_ALL_COMMON;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T5_FISH_FRESHWATER_ALL_COMMON;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T6_FISH_FRESHWATER_ALL_COMMON;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T7_FISH_FRESHWATER_ALL_COMMON;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T8_FISH_FRESHWATER_ALL_COMMON;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T1_FISH_SALTWATER_ALL_COMMON;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T2_FISH_SALTWATER_ALL_COMMON;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T3_FISH_SALTWATER_ALL_COMMON;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T4_FISH_SALTWATER_ALL_COMMON;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T5_FISH_SALTWATER_ALL_COMMON;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T6_FISH_SALTWATER_ALL_COMMON;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T7_FISH_SALTWATER_ALL_COMMON;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T8_FISH_SALTWATER_ALL_COMMON;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T3_FISH_FRESHWATER_FOREST_RARE;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T5_FISH_FRESHWATER_FOREST_RARE;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T7_FISH_FRESHWATER_FOREST_RARE;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T3_FISH_FRESHWATER_STEPPE_RARE;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T5_FISH_FRESHWATER_STEPPE_RARE;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T7_FISH_FRESHWATER_STEPPE_RARE;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T3_FISH_FRESHWATER_MOUNTAIN_RARE;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T5_FISH_FRESHWATER_MOUNTAIN_RARE;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T7_FISH_FRESHWATER_MOUNTAIN_RARE;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T3_FISH_FRESHWATER_HIGHLANDS_RARE;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T5_FISH_FRESHWATER_HIGHLANDS_RARE;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T7_FISH_FRESHWATER_HIGHLANDS_RARE;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T3_FISH_FRESHWATER_SWAMP_RARE;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T5_FISH_FRESHWATER_SWAMP_RARE;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T7_FISH_FRESHWATER_SWAMP_RARE;1;;;;;;;;;;
T1_FISHCHOPS;materials;other;1;0;T8_FISH_SALTWATER_ALL_BOSS_SHARK;1;;;;;;;;;;
T1_FISHSAUCE_LEVEL1;materials;cooked;1;0;T1_FISHCHOPS;15;T1_SEAWEED;1;;;;;;;;
T1_FISHSAUCE_LEVEL2;materials;cooked;1;0;T1_FISHCHOPS;45;T1_SEAWEED;3;;;;;;;;
T1_FISHSAUCE_LEVEL3;materials;cooked;1;0;T1_FISHCHOPS;125;T1_SEAWEED;9;;;;;;;;
TREASURE_KNOWLEDGE_RARITY1;materials;token;4;0;;;;;;;;;;;;
TREASURE_KNOWLEDGE_RARITY2;materials;token;5;0;;;;;;;;;;;;
TREASURE_KNOWLEDGE_RARITY3;materials;token;6;0;;;;;;;;;;;;
TREASURE_SILVERWARE_RARITY1;materials;token;4;0;;;;;;;;;;;;
TREASURE_SILVERWARE_RARITY2;materials;token;5;0;;;;;;;;;;;;
TREASURE_SILVERWARE_RARITY3;materials;token;6;0;;;;;;;;;;;;
TREASURE_DECORATIVE_RARITY1;materials;token;4;0;;;;;;;;;;;;
TREASURE_DECORATIVE_RARITY2;materials;token;5;0;;;;;;;;;;;;
TREASURE_DECORATIVE_RARITY3;materials;token;6;0;;;;;;;;;;;;
TREASURE_CEREMONIAL_RARITY1;materials;token;4;0;;;;;;;;;;;;
TREASURE_CEREMONIAL_RARITY2;materials;token;5;0;;;;;;;;;;;;
TREASURE_CEREMONIAL_RARITY3;materials;token;6;0;;;;;;;;;;;;
TREASURE_TRIBAL_RARITY1;materials;token;4;0;;;;;;;;;;;;
TREASURE_TRIBAL_RARITY2;materials;token;5;0;;;;;;;;;;;;
TREASURE_TRIBAL_RARITY3;materials;token;6;0;;;;;;;;;;;;
TREASURE_RITUAL_RARITY1;materials;token;4;0;;;;;;;;;;;;
TREASURE_RITUAL_RARITY2;materials;token;5;0;;;;;;;;;;;;
TREASURE_RITUAL_RARITY3;materials;token;6;0;;;;;;;;;;;;
QUESTITEM_TRANSFER_LETTER;other;mission;1;0;;;;;;;;;;;;
QUESTITEM_LIGHT_BLUEPRINTS;other;mission;1;0;;;;;;;;;;;;
QUESTITEM_LIGHT_MANUSCRIPTS;other;mission;1;0;;;;;;;;;;;;
QUESTITEM_LIGHT_SURVEYS;other;mission;1;0;;;;;;;;;;;;
QUESTITEM_HEAVY_MORTAR;other;mission;1;0;;;;;;;;;;;;
QUESTITEM_HEAVY_CRATE;other;mission;1;0;;;;;;;;;;;;
QUESTITEM_HEAVY_BARREL;other;mission;1;0;;;;;;;;;;;;
QUESTITEM_LIGHT_FUR;other;mission;1;0;;;;;;;;;;;;
QUESTITEM_LIGHT_THEPACKAGE;other;mission;1;0;;;;;;;;;;;;
QUESTITEM_LIGHT_PATROLROUTE;other;mission;1;0;;;;;;;;;;;;
QUESTITEM_HEAVY_MOONSHINE;other;mission;1;0;;;;;;;;;;;;
QUESTITEM_LIGHT_KITTENS;other;mission;1;0;;;;;;;;;;;;
QUESTITEM_LIGHT_BEES;other;mission;1;0;;;;;;;;;;;;
QUESTITEM_LIGHT_OLDCLOTHES;other;mission;1;0;;;;;;;;;;;;
QUESTITEM_HEAVY_FARMTOOLS;other;mission;1;0;;;;;;;;;;;;
QUESTITEM_HEAVY_MANURE;other;mission;1;0;;;;;;;;;;;;
QUESTITEM_LIGHT_ASSASSINATION;other;mission;1;0;;;;;;;;;;;;
QUESTITEM_LIGHT_CASUALTIES;other;mission;1;0;;;;;;;;;;;;
QUESTITEM_LIGHT_RINGS;other;mission;1;0;;;;;;;;;;;;
QUESTITEM_HEAVY_MEDICAL;other;mission;1;0;;;;;;;;;;;;
QUESTITEM_HEAVY_FIREBARREL;other;mission;1;0;;;;;;;;;;;;
QUESTITEM_TOKEN_ARENA_UNRANKED;token;arenasigils;4;0;;;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D1_T6_EXP_HRD_WINTER_EVENT;token;maps;4;0;UNIQUE_CONSUMABLE_EVENT_WINTER_2017;1000;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D1_T6_EXP_HRD_UNDEAD_RECRUITMENT;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;2;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D2_T6_EXP_HRD_UNDEAD_RECRUITMENT;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;3;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D3_T6_EXP_HRD_UNDEAD_RECRUITMENT;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;4;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D4_T6_EXP_HRD_UNDEAD_RECRUITMENT;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;6;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D5_T6_EXP_HRD_UNDEAD_RECRUITMENT;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;7;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D6_T6_EXP_HRD_UNDEAD_RECRUITMENT;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;8;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D7_T6_EXP_HRD_UNDEAD_RECRUITMENT;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;10;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D8_T6_EXP_HRD_UNDEAD_RECRUITMENT;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;11;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D9_T6_EXP_HRD_UNDEAD_RECRUITMENT;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;12;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D10_T6_EXP_HRD_UNDEAD_RECRUITMENT;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;13;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D11_T6_EXP_HRD_UNDEAD_RECRUITMENT;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;15;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D12_T6_EXP_HRD_UNDEAD_RECRUITMENT;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;16;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D13_T6_EXP_HRD_UNDEAD_RECRUITMENT;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;17;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D14_T6_EXP_HRD_UNDEAD_RECRUITMENT;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;19;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D15_T6_EXP_HRD_UNDEAD_RECRUITMENT;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;20;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D1_T6_EXP_HRD_HERETIC_FISHYBUSINESS;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;2;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D2_T6_EXP_HRD_HERETIC_FISHYBUSINESS;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;3;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D3_T6_EXP_HRD_HERETIC_FISHYBUSINESS;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;4;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D4_T6_EXP_HRD_HERETIC_FISHYBUSINESS;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;6;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D5_T6_EXP_HRD_HERETIC_FISHYBUSINESS;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;7;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D6_T6_EXP_HRD_HERETIC_FISHYBUSINESS;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;8;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D7_T6_EXP_HRD_HERETIC_FISHYBUSINESS;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;10;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D8_T6_EXP_HRD_HERETIC_FISHYBUSINESS;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;11;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D9_T6_EXP_HRD_HERETIC_FISHYBUSINESS;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;12;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D10_T6_EXP_HRD_HERETIC_FISHYBUSINESS;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;13;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D11_T6_EXP_HRD_HERETIC_FISHYBUSINESS;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;15;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D12_T6_EXP_HRD_HERETIC_FISHYBUSINESS;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;16;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D13_T6_EXP_HRD_HERETIC_FISHYBUSINESS;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;17;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D14_T6_EXP_HRD_HERETIC_FISHYBUSINESS;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;19;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D15_T6_EXP_HRD_HERETIC_FISHYBUSINESS;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;20;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D1_T6_EXP_HRD_KEEPER_STONEWARS;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;2;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D2_T6_EXP_HRD_KEEPER_STONEWARS;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;3;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D3_T6_EXP_HRD_KEEPER_STONEWARS;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;4;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D4_T6_EXP_HRD_KEEPER_STONEWARS;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;6;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D5_T6_EXP_HRD_KEEPER_STONEWARS;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;7;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D6_T6_EXP_HRD_KEEPER_STONEWARS;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;8;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D7_T6_EXP_HRD_KEEPER_STONEWARS;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;10;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D8_T6_EXP_HRD_KEEPER_STONEWARS;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;11;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D9_T6_EXP_HRD_KEEPER_STONEWARS;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;12;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D10_T6_EXP_HRD_KEEPER_STONEWARS;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;13;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D11_T6_EXP_HRD_KEEPER_STONEWARS;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;15;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D12_T6_EXP_HRD_KEEPER_STONEWARS;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;16;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D13_T6_EXP_HRD_KEEPER_STONEWARS;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;17;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D14_T6_EXP_HRD_KEEPER_STONEWARS;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;19;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D15_T6_EXP_HRD_KEEPER_STONEWARS;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;20;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D1_T6_EXP_HRD_HERETIC_LUMBERCAMP;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;2;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D2_T6_EXP_HRD_HERETIC_LUMBERCAMP;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;3;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D3_T6_EXP_HRD_HERETIC_LUMBERCAMP;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;4;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D4_T6_EXP_HRD_HERETIC_LUMBERCAMP;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;6;;;;;;;;;;
QUESTITEM_EXP_TOKEN_D5_T6_EXP_HRD_HERETIC_LUMBERCAMP;token;maps;4;0;QUESTITEM_TOKEN_ROYAL_T6;7;;;;;;;;;;
